# kind nAtoms frames pass rep compute_ms
cubic 4096 1 2 2 8.366
cubic 4096 1 2 3 8.382
cubic 4096 1 2 4 8.363
cubic 4096 1 2 5 8.376
cubic 4096 1 2 6 8.373
cubic 4096 1 2 7 8.363
cubic 4096 1 2 8 8.365
cubic 4096 1 2 9 8.354
cubic 4096 1 2 10 8.361
cubic 4096 1 2 11 8.371
cubic 4096 1 2 12 8.363
cubic 4096 1 2 13 8.344
cubic 4096 1 2 14 8.369
cubic 4096 1 2 15 8.363
cubic 4096 1 2 16 8.362
cubic 4096 1 2 17 8.359
cubic 4096 1 2 18 8.367
cubic 4096 1 2 19 8.365
cubic 4096 1 2 20 8.365
cubic 4096 2 2 0 9.209
cubic 4096 2 2 1 9.199
cubic 4096 2 2 2 9.182
cubic 4096 2 2 3 9.191
cubic 4096 2 2 4 9.187
cubic 4096 2 2 5 9.195
cubic 4096 2 2 6 9.202
cubic 4096 2 2 7 9.214
cubic 4096 2 2 8 9.216
cubic 4096 2 2 9 9.189
cubic 4096 2 2 10 9.194
cubic 4096 2 2 11 9.203
cubic 4096 2 2 12 7.683
cubic 4096 2 2 13 6.565
cubic 4096 2 2 14 6.562
cubic 4096 2 2 15 6.559
cubic 4096 2 2 16 6.563
cubic 4096 2 2 17 6.560
cubic 4096 2 2 18 6.561
cubic 4096 2 2 19 6.558
cubic 4096 2 2 20 6.570
cubic 4096 4 2 0 14.124
cubic 4096 4 2 1 14.021
cubic 4096 4 2 2 14.093
cubic 4096 4 2 3 14.042
cubic 4096 4 2 4 14.088
cubic 4096 4 2 5 13.987
cubic 4096 4 2 6 14.075
cubic 4096 4 2 7 14.138
cubic 4096 4 2 8 14.030
cubic 4096 4 2 9 14.102
cubic 4096 4 2 10 12.455
cubic 4096 4 2 11 7.691
cubic 4096 4 2 12 7.713
cubic 4096 4 2 13 7.742
cubic 4096 4 2 14 7.753
cubic 4096 4 2 15 7.756
cubic 4096 4 2 16 7.691
cubic 4096 4 2 17 7.778
cubic 4096 4 2 18 7.693
cubic 4096 4 2 19 7.685
cubic 4096 4 2 20 7.722
cubic 4096 8 2 0 22.271
cubic 4096 8 2 1 22.010
cubic 4096 8 2 2 21.885
cubic 4096 8 2 3 21.917
cubic 4096 8 2 4 21.938
cubic 4096 8 2 5 22.086
cubic 4096 8 2 6 22.265
cubic 4096 8 2 7 21.875
cubic 4096 8 2 8 22.316
cubic 4096 8 2 9 17.740
cubic 4096 8 2 10 12.090
cubic 4096 8 2 11 12.074
cubic 4096 8 2 12 12.107
cubic 4096 8 2 13 12.053
cubic 4096 8 2 14 12.196
cubic 4096 8 2 15 12.236
cubic 4096 8 2 16 11.964
cubic 4096 8 2 17 12.251
cubic 4096 8 2 18 12.150
cubic 4096 8 2 19 12.048
cubic 4096 8 2 20 11.956
cubic 4096 11 2 0 27.363
cubic 4096 11 2 1 27.413
cubic 4096 11 2 2 27.166
cubic 4096 11 2 3 25.406
cubic 4096 11 2 4 23.133
cubic 4096 11 2 5 23.184
cubic 4096 11 2 6 23.151
cubic 4096 11 2 7 23.123
cubic 4096 11 2 8 23.060
cubic 4096 11 2 9 23.115
cubic 4096 11 2 10 23.143
cubic 4096 11 2 11 23.214
cubic 4096 11 2 12 16.239
cubic 4096 11 2 13 15.013
cubic 4096 11 2 14 15.101
cubic 4096 11 2 15 15.092
cubic 4096 11 2 16 15.071
cubic 4096 11 2 17 15.089
cubic 4096 11 2 18 15.055
cubic 4096 11 2 19 15.080
cubic 4096 11 2 20 15.073
synth 1000 1 3 0 4.596
synth 1000 1 3 1 4.587
synth 1000 1 3 2 4.590
synth 1000 1 3 3 4.598
synth 1000 1 3 4 4.590
synth 1000 1 3 5 4.579
synth 1000 1 3 6 4.570
synth 1000 1 3 7 4.570
synth 1000 1 3 8 4.584
synth 1000 1 3 9 4.580
synth 1000 1 3 10 4.568
synth 1000 1 3 11 4.586
synth 1000 1 3 12 4.586
synth 1000 1 3 13 4.577
synth 1000 1 3 14 4.563
synth 1000 1 3 15 4.578
synth 1000 1 3 16 4.573
synth 1000 1 3 17 4.574
synth 1000 1 3 18 4.580
